t 1 2 3 4 5 6 jL0100 jL0200 jL0300
0.0000000e+000 9.9991001e-001 9.9964013e-001 9.9919066e-001 9.9919066e-001 1.9988308e+000 2.9987408e+000 2.9997300e-004 1.1995682e-003 2.6978148e-003
3.0000000e-007 9.9973004e-001 9.9892065e-001 9.9757328e-001 9.9757328e-001 1.9964939e+000 2.9962240e+000 5.9989201e-004 2.3982729e-003 5.3912626e-003
6.0000000e-007 9.9946012e-001 9.9784194e-001 9.9514983e-001 9.9514983e-001 1.9929918e+000 2.9924519e+000 8.9973005e-004 3.5956833e-003 8.0781672e-003
9.0000000e-007 9.9910028e-001 9.9640453e-001 9.9192292e-001 9.9192292e-001 1.9883275e+000 2.9874277e+000 1.1994601e-003 4.7913687e-003 1.0756359e-002
1.2000000e-006 9.9865057e-001 9.9460906e-001 9.8789582e-001 9.8789582e-001 1.9825049e+000 2.9811554e+000 1.4990553e-003 5.9848996e-003 1.3423678e-002
1.5000000e-006 9.9811102e-001 9.9245631e-001 9.8307242e-001 9.8307242e-001 1.9755287e+000 2.9736398e+000 1.7984886e-003 7.1758471e-003 1.6077973e-002
1.8000000e-006 9.9748170e-001 9.8994717e-001 9.7745729e-001 9.7745729e-001 1.9674045e+000 2.9648862e+000 2.0977331e-003 8.3637838e-003 1.8717108e-002
2.1000000e-006 9.9676267e-001 9.8708269e-001 9.7105560e-001 9.7105560e-001 1.9581383e+000 2.9549010e+000 2.3967619e-003 9.5482830e-003 2.1338958e-002
2.4000000e-006 9.9595401e-001 9.8386401e-001 9.6387318e-001 9.6387318e-001 1.9477372e+000 2.9436912e+000 2.6955481e-003 1.0728920e-002 2.3941416e-002
2.7000000e-006 9.9505579e-001 9.8029243e-001 9.5591646e-001 9.5591646e-001 1.9362089e+000 2.9312647e+000 2.9940649e-003 1.1905271e-002 2.6522390e-002
3.0000000e-006 9.9406810e-001 9.7636936e-001 9.4719252e-001 9.4719252e-001 1.9235619e+000 2.9176300e+000 3.2922853e-003 1.3076914e-002 2.9079810e-002
3.3000000e-006 9.9299105e-001 9.7209633e-001 9.3770903e-001 9.3770903e-001 1.9098054e+000 2.9027964e+000 3.5901826e-003 1.4243430e-002 3.1611624e-002
3.6000000e-006 9.9182473e-001 9.6747501e-001 9.2747429e-001 9.2747429e-001 1.8949493e+000 2.8867740e+000 3.8877300e-003 1.5404400e-002 3.4115805e-002
3.9000000e-006 9.9056926e-001 9.6250719e-001 9.1649719e-001 9.1649719e-001 1.8790044e+000 2.8695736e+000 4.1849008e-003 1.6559408e-002 3.6590347e-002
4.2000000e-006 9.8922476e-001 9.5719477e-001 9.0478720e-001 9.0478720e-001 1.8619820e+000 2.8512067e+000 4.4816682e-003 1.7708042e-002 3.9033273e-002
4.5000000e-006 9.8779136e-001 9.5153981e-001 8.9235442e-001 8.9235442e-001 1.8438942e+000 2.8316856e+000 4.7780056e-003 1.8849890e-002 4.1442630e-002
4.8000000e-006 9.8626919e-001 9.4554444e-001 8.7920947e-001 8.7920947e-001 1.8247539e+000 2.8110231e+000 5.0738864e-003 1.9984543e-002 4.3816495e-002
5.1000000e-006 9.8465840e-001 9.3921096e-001 8.6536357e-001 8.6536357e-001 1.8045745e+000 2.7892329e+000 5.3692839e-003 2.1111596e-002 4.6152977e-002
5.4000000e-006 9.8295915e-001 9.3254177e-001 8.5082851e-001 8.5082851e-001 1.7833703e+000 2.7663294e+000 5.6641717e-003 2.2230646e-002 4.8450214e-002
5.7000000e-006 9.8117160e-001 9.2553938e-001 8.3561660e-001 8.3561660e-001 1.7611560e+000 2.7423276e+000 5.9585231e-003 2.3341294e-002 5.0706379e-002
6.0000000e-006 9.7929590e-001 9.1820644e-001 8.1974069e-001 8.1974069e-001 1.7379471e+000 2.7172430e+000 6.2523119e-003 2.4443141e-002 5.2919679e-002
6.3000000e-006 9.7733225e-001 9.1054570e-001 8.0321419e-001 8.0321419e-001 1.7137599e+000 2.6910921e+000 6.5455116e-003 2.5535796e-002 5.5088357e-002
6.6000000e-006 9.7528082e-001 9.0256004e-001 7.8605098e-001 7.8605098e-001 1.6886110e+000 2.6638918e+000 6.8380958e-003 2.6618868e-002 5.7210694e-002
6.9000000e-006 9.7314181e-001 8.9425245e-001 7.6826547e-001 7.6826547e-001 1.6625179e+000 2.6356597e+000 7.1300384e-003 2.7691971e-002 5.9285011e-002
7.2000000e-006 9.7091542e-001 8.8562603e-001 7.4987257e-001 7.4987257e-001 1.6354986e+000 2.6064140e+000 7.4213130e-003 2.8754722e-002 6.1309667e-002
7.5000000e-006 9.6860185e-001 8.7668401e-001 7.3088765e-001 7.3088765e-001 1.6075717e+000 2.5761735e+000 7.7118936e-003 2.9806743e-002 6.3283064e-002
7.8000000e-006 9.6620132e-001 8.6742971e-001 7.1132656e-001 7.1132656e-001 1.5787563e+000 2.5449576e+000 8.0017540e-003 3.0847659e-002 6.5203646e-002
8.1000000e-006 9.6371406e-001 8.5786658e-001 6.9120559e-001 6.9120559e-001 1.5490722e+000 2.5127862e+000 8.2908682e-003 3.1877099e-002 6.7069901e-002
8.4000000e-006 9.6114030e-001 8.4799817e-001 6.7054148e-001 6.7054148e-001 1.5185397e+000 2.4796800e+000 8.5792103e-003 3.2894697e-002 6.8880363e-002
8.7000000e-006 9.5848027e-001 8.3782815e-001 6.4935140e-001 6.4935140e-001 1.4871795e+000 2.4456598e+000 8.8667543e-003 3.3900090e-002 7.0633611e-002
9.0000000e-006 9.5573423e-001 8.2736027e-001 6.2765292e-001 6.2765292e-001 1.4550132e+000 2.4107474e+000 9.1534746e-003 3.4892923e-002 7.2328274e-002
9.3000000e-006 9.5290243e-001 8.1659842e-001 6.0546401e-001 6.0546401e-001 1.4220624e+000 2.3749649e+000 9.4393453e-003 3.5872841e-002 7.3963027e-002
9.6000000e-006 9.4998512e-001 8.0554657e-001 5.8280303e-001 5.8280303e-001 1.3883496e+000 2.3383347e+000 9.7243409e-003 3.6839497e-002 7.5536595e-002
9.9000000e-006 9.4698259e-001 7.9420880e-001 5.5968870e-001 5.5968870e-001 1.3538975e+000 2.3008801e+000 1.0008436e-002 3.7792547e-002 7.7047755e-002
1.0200000e-005 9.4389511e-001 7.8258931e-001 5.3614010e-001 5.3614010e-001 1.3187294e+000 2.2626245e+000 1.0291604e-002 3.8731654e-002 7.8495333e-002
1.0500000e-005 9.4072296e-001 7.7069236e-001 5.1217664e-001 5.1217664e-001 1.2828690e+000 2.2235920e+000 1.0573821e-002 3.9656485e-002 7.9878210e-002
1.0800000e-005 9.3746645e-001 7.5852235e-001 4.8781804e-001 4.8781804e-001 1.2463404e+000 2.1838068e+000 1.0855061e-002 4.0566712e-002 8.1195319e-002
1.1100000e-005 9.3412586e-001 7.4608375e-001 4.6308435e-001 4.6308435e-001 1.2091681e+000 2.1432940e+000 1.1135299e-002 4.1462012e-002 8.2445647e-002
1.1400000e-005 9.3070150e-001 7.3338112e-001 4.3799588e-001 4.3799588e-001 1.1713770e+000 2.1020785e+000 1.1414509e-002 4.2342070e-002 8.3628235e-002
1.1700000e-005 9.2719370e-001 7.2041915e-001 4.1257322e-001 4.1257322e-001 1.1329924e+000 2.0601861e+000 1.1692667e-002 4.3206573e-002 8.4742183e-002
1.2000000e-005 9.2360278e-001 7.0720259e-001 3.8683723e-001 3.8683723e-001 1.0940398e+000 2.0176426e+000 1.1969748e-002 4.4055216e-002 8.5786644e-002
1.2300000e-005 9.1992906e-001 6.9373628e-001 3.6080898e-001 3.6080898e-001 1.0545453e+000 1.9744743e+000 1.2245727e-002 4.4887699e-002 8.6760828e-002
1.2600000e-005 9.1617289e-001 6.8002516e-001 3.3450978e-001 3.3450978e-001 1.0145349e+000 1.9307078e+000 1.2520579e-002 4.5703730e-002 8.7664004e-002
1.2900000e-005 9.1233460e-001 6.6607425e-001 3.0796113e-001 3.0796113e-001 9.7403539e-001 1.8863700e+000 1.2794279e-002 4.6503019e-002 8.8495499e-002
1.3200000e-005 9.0841456e-001 6.5188867e-001 2.8118472e-001 2.8118472e-001 9.3307339e-001 1.8414880e+000 1.3066803e-002 4.7285285e-002 8.9254698e-002
1.3500000e-005 9.0441312e-001 6.3747359e-001 2.5420241e-001 2.5420241e-001 8.9167600e-001 1.7960891e+000 1.3338127e-002 4.8050253e-002 8.9941045e-002
1.3800000e-005 9.0033066e-001 6.2283430e-001 2.2703620e-001 2.2703620e-001 8.4987049e-001 1.7502011e+000 1.3608227e-002 4.8797655e-002 9.0554042e-002
1.4100000e-005 8.9616753e-001 6.0797613e-001 1.9970822e-001 1.9970822e-001 8.0768435e-001 1.7038519e+000 1.3877077e-002 4.9527226e-002 9.1093255e-002
1.4400000e-005 8.9192414e-001 5.9290451e-001 1.7224073e-001 1.7224073e-001 7.6514524e-001 1.6570694e+000 1.4144654e-002 5.0238711e-002 9.1558304e-002
1.4700000e-005 8.8760086e-001 5.7762496e-001 1.4465607e-001 1.4465607e-001 7.2228102e-001 1.6098819e+000 1.4410934e-002 5.0931861e-002 9.1948876e-002
1.5000000e-005 8.8319809e-001 5.6214303e-001 1.1697665e-001 1.1697665e-001 6.7911968e-001 1.5623178e+000 1.4675894e-002 5.1606433e-002 9.2264713e-002
1.5300000e-005 8.7871624e-001 5.4646437e-001 8.9224966e-002 8.9224966e-002 6.3568934e-001 1.5144056e+000 1.4939509e-002 5.2262190e-002 9.2505620e-002
1.5600000e-005 8.7415571e-001 5.3059470e-001 6.1423527e-002 6.1423527e-002 5.9201822e-001 1.4661739e+000 1.5201755e-002 5.2898904e-002 9.2671464e-002
