t 1 jL0300
0.0000000e+000 -9.9900100e-001 9.9900100e-001
1.0000000e-004 -9.9800300e-001 9.9800300e-001
2.0000000e-004 -9.9700599e-001 9.9700599e-001
3.0000000e-004 -9.9600998e-001 9.9600998e-001
4.0000000e-004 -9.9501497e-001 9.9501497e-001
5.0000000e-004 -9.9402094e-001 9.9402094e-001
6.0000000e-004 -9.9302792e-001 9.9302792e-001
7.0000000e-004 -9.9203588e-001 9.9203588e-001
8.0000000e-004 -9.9104484e-001 9.9104484e-001
9.0000000e-004 -9.9005478e-001 9.9005478e-001
1.0000000e-003 -9.8906571e-001 9.8906571e-001
1.1000000e-003 -9.8807764e-001 9.8807764e-001
1.2000000e-003 -9.8709055e-001 9.8709055e-001
1.3000000e-003 -9.8610444e-001 9.8610444e-001
1.4000000e-003 -9.8511932e-001 9.8511932e-001
1.5000000e-003 -9.8413519e-001 9.8413519e-001
1.6000000e-003 -9.8315204e-001 9.8315204e-001
1.7000000e-003 -9.8216987e-001 9.8216987e-001
1.8000000e-003 -9.8118868e-001 9.8118868e-001
1.9000000e-003 -9.8020847e-001 9.8020847e-001
2.0000000e-003 -9.7922924e-001 9.7922924e-001
2.1000000e-003 -9.7825099e-001 9.7825099e-001
2.2000000e-003 -9.7727371e-001 9.7727371e-001
2.3000000e-003 -9.7629742e-001 9.7629742e-001
2.4000000e-003 -9.7532210e-001 9.7532210e-001
2.5000000e-003 -9.7434775e-001 9.7434775e-001
2.6000000e-003 -9.7337437e-001 9.7337437e-001
2.7000000e-003 -9.7240197e-001 9.7240197e-001
2.8000000e-003 -9.7143054e-001 9.7143054e-001
2.9000000e-003 -9.7046008e-001 9.7046008e-001
3.0000000e-003 -9.6949059e-001 9.6949059e-001
3.1000000e-003 -9.6852207e-001 9.6852207e-001
3.2000000e-003 -9.6755451e-001 9.6755451e-001
3.3000000e-003 -9.6658793e-001 9.6658793e-001
3.4000000e-003 -9.6562230e-001 9.6562230e-001
3.5000000e-003 -9.6465765e-001 9.6465765e-001
3.6000000e-003 -9.6369395e-001 9.6369395e-001
3.7000000e-003 -9.6273122e-001 9.6273122e-001
3.8000000e-003 -9.6176945e-001 9.6176945e-001
3.9000000e-003 -9.6080864e-001 9.6080864e-001
4.0000000e-003 -9.5984879e-001 9.5984879e-001
4.1000000e-003 -9.5888990e-001 9.5888990e-001
4.2000000e-003 -9.5793197e-001 9.5793197e-001
4.3000000e-003 -9.5697500e-001 9.5697500e-001
4.4000000e-003 -9.5601898e-001 9.5601898e-001
4.5000000e-003 -9.5506391e-001 9.5506391e-001
4.6000000e-003 -9.5410980e-001 9.5410980e-001
4.7000000e-003 -9.5315665e-001 9.5315665e-001
4.8000000e-003 -9.5220444e-001 9.5220444e-001
4.9000000e-003 -9.5125319e-001 9.5125319e-001
5.0000000e-003 -9.5030289e-001 9.5030289e-001
5.1000000e-003 -9.4935353e-001 9.4935353e-001
5.2000000e-003 -9.4840513e-001 9.4840513e-001
5.3000000e-003 -9.4745767e-001 9.4745767e-001
5.4000000e-003 -9.4651116e-001 9.4651116e-001
5.5000000e-003 -9.4556559e-001 9.4556559e-001
5.6000000e-003 -9.4462097e-001 9.4462097e-001
5.7000000e-003 -9.4367730e-001 9.4367730e-001
5.8000000e-003 -9.4273456e-001 9.4273456e-001
5.9000000e-003 -9.4179277e-001 9.4179277e-001
6.0000000e-003 -9.4085192e-001 9.4085192e-001
6.1000000e-003 -9.3991200e-001 9.3991200e-001
6.2000000e-003 -9.3897303e-001 9.3897303e-001
6.3000000e-003 -9.3803500e-001 9.3803500e-001
6.4000000e-003 -9.3709790e-001 9.3709790e-001
6.5000000e-003 -9.3616174e-001 9.3616174e-001
6.6000000e-003 -9.3522651e-001 9.3522651e-001
6.7000000e-003 -9.3429222e-001 9.3429222e-001
6.8000000e-003 -9.3335886e-001 9.3335886e-001
6.9000000e-003 -9.3242643e-001 9.3242643e-001
7.0000000e-003 -9.3149494e-001 9.3149494e-001
7.1000000e-003 -9.3056437e-001 9.3056437e-001
7.2000000e-003 -9.2963474e-001 9.2963474e-001
7.3000000e-003 -9.2870603e-001 9.2870603e-001
7.4000000e-003 -9.2777825e-001 9.2777825e-001
7.5000000e-003 -9.2685140e-001 9.2685140e-001
7.6000000e-003 -9.2592548e-001 9.2592548e-001
7.7000000e-003 -9.2500048e-001 9.2500048e-001
7.8000000e-003 -9.2407640e-001 9.2407640e-001
7.9000000e-003 -9.2315325e-001 9.2315325e-001
8.0000000e-003 -9.2223102e-001 9.2223102e-001
8.1000000e-003 -9.2130971e-001 9.2130971e-001
8.2000000e-003 -9.2038932e-001 9.2038932e-001
8.3000000e-003 -9.1946985e-001 9.1946985e-001
8.4000000e-003 -9.1855130e-001 9.1855130e-001
8.5000000e-003 -9.1763366e-001 9.1763366e-001
8.6000000e-003 -9.1671695e-001 9.1671695e-001
8.7000000e-003 -9.1580114e-001 9.1580114e-001
8.8000000e-003 -9.1488626e-001 9.1488626e-001
8.9000000e-003 -9.1397229e-001 9.1397229e-001
9.0000000e-003 -9.1305923e-001 9.1305923e-001
9.1000000e-003 -9.1214708e-001 9.1214708e-001
9.2000000e-003 -9.1123584e-001 9.1123584e-001
9.3000000e-003 -9.1032552e-001 9.1032552e-001
9.4000000e-003 -9.0941610e-001 9.0941610e-001
9.5000000e-003 -9.0850759e-001 9.0850759e-001
9.6000000e-003 -9.0759999e-001 9.0759999e-001
9.7000000e-003 -9.0669330e-001 9.0669330e-001
9.8000000e-003 -9.0578751e-001 9.0578751e-001
9.9000000e-003 -9.0488263e-001 9.0488263e-001
1.0000000e-002 -9.0397865e-001 9.0397865e-001
1.0100000e-002 -9.0307558e-001 9.0307558e-001
1.0200000e-002 -9.0217340e-001 9.0217340e-001
1.0300000e-002 -9.0127213e-001 9.0127213e-001
1.0400000e-002 -9.0037176e-001 9.0037176e-001
1.0500000e-002 -8.9947229e-001 8.9947229e-001
1.0600000e-002 -8.9857371e-001 8.9857371e-001
1.0700000e-002 -8.9767604e-001 8.9767604e-001
1.0800000e-002 -8.9677926e-001 8.9677926e-001
1.0900000e-002 -8.9588337e-001 8.9588337e-001
1.1000000e-002 -8.9498839e-001 8.9498839e-001
1.1100000e-002 -8.9409429e-001 8.9409429e-001
1.1200000e-002 -8.9320109e-001 8.9320109e-001
1.1300000e-002 -8.9230878e-001 8.9230878e-001
1.1400000e-002 -8.9141736e-001 8.9141736e-001
1.1500000e-002 -8.9052684e-001 8.9052684e-001
1.1600000e-002 -8.8963720e-001 8.8963720e-001
1.1700000e-002 -8.8874845e-001 8.8874845e-001
1.1800000e-002 -8.8786059e-001 8.8786059e-001
1.1900000e-002 -8.8697362e-001 8.8697362e-001
1.2000000e-002 -8.8608753e-001 8.8608753e-001
1.2100000e-002 -8.8520233e-001 8.8520233e-001
1.2200000e-002 -8.8431801e-001 8.8431801e-001
1.2300000e-002 -8.8343458e-001 8.8343458e-001
1.2400000e-002 -8.8255202e-001 8.8255202e-001
1.2500000e-002 -8.8167035e-001 8.8167035e-001
1.2600000e-002 -8.8078956e-001 8.8078956e-001
1.2700000e-002 -8.7990965e-001 8.7990965e-001
1.2800000e-002 -8.7903062e-001 8.7903062e-001
1.2900000e-002 -8.7815247e-001 8.7815247e-001
1.3000000e-002 -8.7727520e-001 8.7727520e-001
1.3100000e-002 -8.7639880e-001 8.7639880e-001
1.3200000e-002 -8.7552327e-001 8.7552327e-001
1.3300000e-002 -8.7464863e-001 8.7464863e-001
1.3400000e-002 -8.7377485e-001 8.7377485e-001
1.3500000e-002 -8.7290195e-001 8.7290195e-001
1.3600000e-002 -8.7202992e-001 8.7202992e-001
1.3700000e-002 -8.7115876e-001 8.7115876e-001
1.3800000e-002 -8.7028847e-001 8.7028847e-001
1.3900000e-002 -8.6941905e-001 8.6941905e-001
1.4000000e-002 -8.6855050e-001 8.6855050e-001
1.4100000e-002 -8.6768282e-001 8.6768282e-001
1.4200000e-002 -8.6681600e-001 8.6681600e-001
1.4300000e-002 -8.6595005e-001 8.6595005e-001
1.4400000e-002 -8.6508497e-001 8.6508497e-001
1.4500000e-002 -8.6422075e-001 8.6422075e-001
1.4600000e-002 -8.6335739e-001 8.6335739e-001
1.4700000e-002 -8.6249489e-001 8.6249489e-001
1.4800000e-002 -8.6163326e-001 8.6163326e-001
1.4900000e-002 -8.6077249e-001 8.6077249e-001
1.5000000e-002 -8.5991258e-001 8.5991258e-001
1.5100000e-002 -8.5905352e-001 8.5905352e-001
1.5200000e-002 -8.5819533e-001 8.5819533e-001
1.5300000e-002 -8.5733799e-001 8.5733799e-001
1.5400000e-002 -8.5648151e-001 8.5648151e-001
1.5500000e-002 -8.5562588e-001 8.5562588e-001
1.5600000e-002 -8.5477111e-001 8.5477111e-001
1.5700000e-002 -8.5391719e-001 8.5391719e-001
1.5800000e-002 -8.5306413e-001 8.5306413e-001
1.5900000e-002 -8.5221192e-001 8.5221192e-001
1.6000000e-002 -8.5136056e-001 8.5136056e-001
1.6100000e-002 -8.5051005e-001 8.5051005e-001
1.6200000e-002 -8.4966039e-001 8.4966039e-001
1.6300000e-002 -8.4881158e-001 8.4881158e-001
1.6400000e-002 -8.4796361e-001 8.4796361e-001
1.6500000e-002 -8.4711650e-001 8.4711650e-001
1.6600000e-002 -8.4627022e-001 8.4627022e-001
1.6700000e-002 -8.4542480e-001 8.4542480e-001
1.6800000e-002 -8.4458022e-001 8.4458022e-001
1.6900000e-002 -8.4373648e-001 8.4373648e-001
1.7000000e-002 -8.4289359e-001 8.4289359e-001
1.7100000e-002 -8.4205154e-001 8.4205154e-001
1.7200000e-002 -8.4121033e-001 8.4121033e-001
1.7300000e-002 -8.4036996e-001 8.4036996e-001
1.7400000e-002 -8.3953043e-001 8.3953043e-001
1.7500000e-002 -8.3869174e-001 8.3869174e-001
1.7600000e-002 -8.3785388e-001 8.3785388e-001
1.7700000e-002 -8.3701687e-001 8.3701687e-001
1.7800000e-002 -8.3618068e-001 8.3618068e-001
1.7900000e-002 -8.3534534e-001 8.3534534e-001
1.8000000e-002 -8.3451083e-001 8.3451083e-001
1.8100000e-002 -8.3367715e-001 8.3367715e-001
1.8200000e-002 -8.3284431e-001 8.3284431e-001
1.8300000e-002 -8.3201229e-001 8.3201229e-001
1.8400000e-002 -8.3118111e-001 8.3118111e-001
1.8500000e-002 -8.3035076e-001 8.3035076e-001
1.8600000e-002 -8.2952124e-001 8.2952124e-001
1.8700000e-002 -8.2869255e-001 8.2869255e-001
1.8800000e-002 -8.2786468e-001 8.2786468e-001
1.8900000e-002 -8.2703765e-001 8.2703765e-001
1.9000000e-002 -8.2621144e-001 8.2621144e-001
1.9100000e-002 -8.2538605e-001 8.2538605e-001
1.9200000e-002 -8.2456149e-001 8.2456149e-001
1.9300000e-002 -8.2373775e-001 8.2373775e-001
1.9400000e-002 -8.2291483e-001 8.2291483e-001
1.9500000e-002 -8.2209274e-001 8.2209274e-001
1.9600000e-002 -8.2127147e-001 8.2127147e-001
1.9700000e-002 -8.2045102e-001 8.2045102e-001
1.9800000e-002 -8.1963139e-001 8.1963139e-001
1.9900000e-002 -8.1881258e-001 8.1881258e-001
2.0000000e-002 -8.1799458e-001 8.1799458e-001
2.0100000e-002 -8.1717740e-001 8.1717740e-001
2.0200000e-002 -8.1636104e-001 8.1636104e-001
2.0300000e-002 -8.1554550e-001 8.1554550e-001
2.0400000e-002 -8.1473077e-001 8.1473077e-001
2.0500000e-002 -8.1391685e-001 8.1391685e-001
2.0600000e-002 -8.1310375e-001 8.1310375e-001
2.0700000e-002 -8.1229145e-001 8.1229145e-001
2.0800000e-002 -8.1147997e-001 8.1147997e-001
2.0900000e-002 -8.1066931e-001 8.1066931e-001
2.1000000e-002 -8.0985945e-001 8.0985945e-001
2.1100000e-002 -8.0905040e-001 8.0905040e-001
2.1200000e-002 -8.0824215e-001 8.0824215e-001
2.1300000e-002 -8.0743472e-001 8.0743472e-001
2.1400000e-002 -8.0662809e-001 8.0662809e-001
2.1500000e-002 -8.0582227e-001 8.0582227e-001
2.1600000e-002 -8.0501725e-001 8.0501725e-001
2.1700000e-002 -8.0421304e-001 8.0421304e-001
2.1800000e-002 -8.0340963e-001 8.0340963e-001
2.1900000e-002 -8.0260702e-001 8.0260702e-001
2.2000000e-002 -8.0180522e-001 8.0180522e-001
2.2100000e-002 -8.0100421e-001 8.0100421e-001
2.2200000e-002 -8.0020401e-001 8.0020401e-001
2.2300000e-002 -7.9940460e-001 7.9940460e-001
2.2400000e-002 -7.9860600e-001 7.9860600e-001
2.2500000e-002 -7.9780819e-001 7.9780819e-001
2.2600000e-002 -7.9701118e-001 7.9701118e-001
2.2700000e-002 -7.9621496e-001 7.9621496e-001
2.2800000e-002 -7.9541954e-001 7.9541954e-001
2.2900000e-002 -7.9462492e-001 7.9462492e-001
2.3000000e-002 -7.9383109e-001 7.9383109e-001
2.3100000e-002 -7.9303805e-001 7.9303805e-001
2.3200000e-002 -7.9224580e-001 7.9224580e-001
2.3300000e-002 -7.9145435e-001 7.9145435e-001
2.3400000e-002 -7.9066369e-001 7.9066369e-001
2.3500000e-002 -7.8987381e-001 7.8987381e-001
2.3600000e-002 -7.8908473e-001 7.8908473e-001
2.3700000e-002 -7.8829643e-001 7.8829643e-001
2.3800000e-002 -7.8750892e-001 7.8750892e-001
2.3900000e-002 -7.8672220e-001 7.8672220e-001
2.4000000e-002 -7.8593626e-001 7.8593626e-001
2.4100000e-002 -7.8515111e-001 7.8515111e-001
2.4200000e-002 -7.8436675e-001 7.8436675e-001
2.4300000e-002 -7.8358316e-001 7.8358316e-001
2.4400000e-002 -7.8280036e-001 7.8280036e-001
2.4500000e-002 -7.8201834e-001 7.8201834e-001
2.4600000e-002 -7.8123711e-001 7.8123711e-001
2.4700000e-002 -7.8045665e-001 7.8045665e-001
2.4800000e-002 -7.7967697e-001 7.7967697e-001
2.4900000e-002 -7.7889807e-001 7.7889807e-001
2.5000000e-002 -7.7811995e-001 7.7811995e-001
2.5100000e-002 -7.7734261e-001 7.7734261e-001
2.5200000e-002 -7.7656605e-001 7.7656605e-001
2.5300000e-002 -7.7579026e-001 7.7579026e-001
2.5400000e-002 -7.7501524e-001 7.7501524e-001
2.5500000e-002 -7.7424100e-001 7.7424100e-001
2.5600000e-002 -7.7346753e-001 7.7346753e-001
2.5700000e-002 -7.7269484e-001 7.7269484e-001
2.5800000e-002 -7.7192291e-001 7.7192291e-001
2.5900000e-002 -7.7115176e-001 7.7115176e-001
2.6000000e-002 -7.7038138e-001 7.7038138e-001
2.6100000e-002 -7.6961177e-001 7.6961177e-001
2.6200000e-002 -7.6884293e-001 7.6884293e-001
2.6300000e-002 -7.6807485e-001 7.6807485e-001
2.6400000e-002 -7.6730754e-001 7.6730754e-001
2.6500000e-002 -7.6654100e-001 7.6654100e-001
2.6600000e-002 -7.6577523e-001 7.6577523e-001
2.6700000e-002 -7.6501022e-001 7.6501022e-001
2.6800000e-002 -7.6424597e-001 7.6424597e-001
2.6900000e-002 -7.6348249e-001 7.6348249e-001
2.7000000e-002 -7.6271977e-001 7.6271977e-001
2.7100000e-002 -7.6195781e-001 7.6195781e-001
2.7200000e-002 -7.6119661e-001 7.6119661e-001
2.7300000e-002 -7.6043618e-001 7.6043618e-001
2.7400000e-002 -7.5967650e-001 7.5967650e-001
