t 1 2 3 4 5 jO1 jO2 
0 0 0 -0 0 -0 0 0
1e-05 -0.144928 1.75505e-17 -0.144928 -0.289855 -0.144928 2.89855e-05 -2.89855e-05
2e-05 -0.140727 0.144928 -0.140727 -0.281453 -0.140727 2.81453e-05 -4.26381e-05
3e-05 -0.134547 0.285654 -0.134547 -0.269095 -0.134547 2.69095e-05 -5.54749e-05
4e-05 -0.126507 0.420202 -0.126507 -0.253015 -0.126507 2.53015e-05 -6.73217e-05
5e-05 -0.116751 0.546709 -0.116751 -0.233501 -0.116751 2.33501e-05 -7.8021e-05
6e-05 -0.105443 0.66346 -0.105443 -0.210887 -0.105443 2.10887e-05 -8.74346e-05
7e-05 -0.0927716 0.768903 -0.0927716 -0.185543 -0.0927716 1.85543e-05 -9.54446e-05
8e-05 -0.0789391 0.861675 -0.0789391 -0.157878 -0.0789391 1.57878e-05 -0.000101955
9e-05 -0.0641629 0.940614 -0.0641629 -0.128326 -0.0641629 1.28326e-05 -0.000106894
0.0001 -0.0486711 1.00478 -0.0486711 -0.0973421 -0.0486711 9.73421e-06 -0.000110212
0.00011 -0.0326983 1.05345 -0.0326983 -0.0653966 -0.0326983 6.53966e-06 -0.000111884
0.00012 -0.0164832 1.08615 -0.0164832 -0.0329664 -0.0164832 3.29664e-06 -0.000111911
0.00013 -0.000264166 1.10263 -0.000264166 -0.000528332 -0.000264166 5.28332e-08 -0.000110316
0.00014 0.0157236 1.10289 0.0157236 0.0314473 0.0157236 -3.14473e-06 -0.000107145
0.00015 0.0312518 1.08717 0.0312518 0.0625037 0.0312518 -6.25037e-06 -0.000102467
0.00016 0.0461021 1.05592 0.0461021 0.0922041 0.0461021 -9.22041e-06 -9.63714e-05
0.00017 0.0600689 1.00982 0.0600689 0.120138 0.0600689 -1.20138e-05 -8.89678e-05
0.00018 0.0729628 0.949747 0.0729628 0.145926 0.0729628 -1.45926e-05 -8.03821e-05
0.00019 0.0846124 0.876784 0.0846124 0.169225 0.0846124 -1.69225e-05 -7.07559e-05
0.0002 0.0948669 0.792172 0.0948669 0.189734 0.0948669 -1.89734e-05 -6.02438e-05
0.00021 0.103598 0.697305 0.103598 0.207196 0.103598 -2.07196e-05 -4.90109e-05
0.00022 0.110701 0.593707 0.110701 0.221402 0.110701 -2.21402e-05 -3.72305e-05
0.00023 0.116097 0.483006 0.116097 0.232193 0.116097 -2.32193e-05 -2.50813e-05
0.00024 0.119732 0.366909 0.119732 0.239463 0.119732 -2.39463e-05 -1.27446e-05
0.00025 0.121579 0.247178 0.121579 0.243157 0.121579 -2.43157e-05 -4.02059e-07
0.00026 0.121637 0.125599 0.121637 0.243274 0.121637 -2.43274e-05 1.17675e-05
0.00027 0.119931 0.00396232 0.119931 0.239863 0.119931 -2.39863e-05 2.35901e-05
0.00028 0.116513 -0.115969 0.116513 0.233025 0.116513 -2.33025e-05 3.48994e-05
0.00029 0.111455 -0.232482 0.111455 0.222909 0.111455 -2.22909e-05 4.55391e-05
0.0003 0.104855 -0.343937 0.104855 0.20971 0.104855 -2.0971e-05 5.53646e-05
0.00031 0.096831 -0.448791 0.096831 0.193662 0.096831 -1.93662e-05 6.42453e-05
0.00032 0.0875201 -0.545622 0.0875201 0.17504 0.0875201 -1.7504e-05 7.20663e-05
0.00033 0.0770757 -0.633143 0.0770757 0.154151 0.0770757 -1.54151e-05 7.87294e-05
0.00034 0.0656656 -0.710218 0.0656656 0.131331 0.0656656 -1.31331e-05 8.4155e-05
0.00035 0.0534693 -0.775884 0.0534693 0.106939 0.0534693 -1.06939e-05 8.82822e-05
0.00036 0.0406748 -0.829353 0.0406748 0.0813495 0.0406748 -8.13495e-06 9.10703e-05
0.00037 0.0274762 -0.870028 0.0274762 0.0549523 0.0274762 -5.49523e-06 9.2498e-05
0.00038 0.0140707 -0.897504 0.0140707 0.0281413 0.0140707 -2.81413e-06 9.25645e-05
0.00039 0.000655501 -0.911575 0.000655501 0.001311 0.000655501 -1.311e-07 9.12886e-05
0.0004 -0.0125747 -0.91223 -0.0125747 -0.0251495 -0.0125747 2.51495e-06 8.87081e-05
0.00041 -0.025431 -0.899655 -0.025431 -0.0508619 -0.025431 5.08619e-06 8.48794e-05
0.00042 -0.0377323 -0.874225 -0.0377323 -0.0754647 -0.0377323 7.54647e-06 7.9876e-05
0.00043 -0.0493086 -0.836492 -0.0493086 -0.0986171 -0.0493086 9.86171e-06 7.37875e-05
0.00044 -0.0600024 -0.787184 -0.0600024 -0.120005 -0.0600024 1.20005e-05 6.67179e-05
0.00045 -0.0696717 -0.727181 -0.0696717 -0.139343 -0.0696717 1.39343e-05 5.87838e-05
0.00046 -0.078191 -0.65751 -0.078191 -0.156382 -0.078191 1.56382e-05 5.01127e-05
0.00047 -0.0854538 -0.579319 -0.0854538 -0.170908 -0.0854538 1.70908e-05 4.08411e-05
0.00048 -0.0913728 -0.493865 -0.0913728 -0.182746 -0.0913728 1.82746e-05 3.11119e-05
0.00049 -0.0958817 -0.402492 -0.0958817 -0.191763 -0.0958817 1.91763e-05 2.10729e-05
0.0005 -0.0989358 -0.30661 -0.0989358 -0.197872 -0.0989358 1.97872e-05 1.08739e-05
0.00051 -0.100512 -0.207674 -0.100512 -0.201023 -0.100512 2.01023e-05 6.6511e-07
0.00052 -0.100608 -0.107163 -0.100608 -0.201216 -0.100608 2.01216e-05 -9.40534e-06
0.00053 -0.099245 -0.00655471 -0.099245 -0.19849 -0.099245 1.9849e-05 -1.91935e-05
0.00054 -0.0964633 0.0926903 -0.0964633 -0.192927 -0.0964633 1.92927e-05 -2.85617e-05
0.00055 -0.092324 0.189154 -0.092324 -0.184648 -0.092324 1.84648e-05 -3.73802e-05
0.00056 -0.0869065 0.281478 -0.0869065 -0.173813 -0.0869065 1.73813e-05 -4.55291e-05
0.00057 -0.0803081 0.368384 -0.0803081 -0.160616 -0.0803081 1.60616e-05 -5.29e-05
0.00058 -0.0726415 0.448692 -0.0726415 -0.145283 -0.0726415 1.45283e-05 -5.93975e-05
0.00059 -0.0640331 0.521334 -0.0640331 -0.128066 -0.0640331 1.28066e-05 -6.494e-05
0.0006 -0.0546215 0.585367 -0.0546215 -0.109243 -0.0546215 1.09243e-05 -6.9461e-05
0.00061 -0.0445547 0.639988 -0.0445547 -0.0891094 -0.0445547 8.91094e-06 -7.29098e-05
0.00062 -0.0339881 0.684543 -0.0339881 -0.0679762 -0.0339881 6.79762e-06 -7.52519e-05
0.00063 -0.023082 0.718531 -0.023082 -0.046164 -0.023082 4.6164e-06 -7.64695e-05
0.00064 -0.0119995 0.741613 -0.0119995 -0.0239989 -0.0119995 2.39989e-06 -7.65612e-05
0.00065 -0.00090364 0.753613 -0.00090364 -0.00180728 -0.00090364 1.80728e-07 -7.5542e-05
0.00066 0.0100445 0.754516 0.0100445 0.0200889 0.0100445 -2.00889e-06 -7.34427e-05
0.00067 0.0206883 0.744472 0.0206883 0.0413767 0.0206883 -4.13767e-06 -7.03095e-05
0.00068 0.0308781 0.723783 0.0308781 0.0617563 0.0308781 -6.17563e-06 -6.62027e-05
0.00069 0.0404727 0.692905 0.0404727 0.0809455 0.0404727 -8.09455e-06 -6.1196e-05
0.0007 0.0493417 0.652433 0.0493417 0.0986834 0.0493417 -9.86834e-06 -5.53749e-05
0.00071 0.0573671 0.603091 0.0573671 0.114734 0.0573671 -1.14734e-05 -4.88357e-05
0.00072 0.0644447 0.545724 0.0644447 0.128889 0.0644447 -1.28889e-05 -4.16834e-05
0.00073 0.0704858 0.481279 0.0704858 0.140972 0.0704858 -1.40972e-05 -3.40308e-05
0.00074 0.0754178 0.410793 0.0754178 0.150836 0.0754178 -1.50836e-05 -2.59958e-05
0.00075 0.0791853 0.335376 0.0791853 0.158371 0.0791853 -1.58371e-05 -1.77005e-05
0.00076 0.0817506 0.25619 0.0817506 0.163501 0.0817506 -1.63501e-05 -9.26892e-06
0.00077 0.0830939 0.17444 0.0830939 0.166188 0.0830939 -1.66188e-05 -8.25196e-07
0.00078 0.0832135 0.0913458 0.0832135 0.166427 0.0832135 -1.66427e-05 7.50811e-06
0.00079 0.0821253 0.00813236 0.0821253 0.164251 0.0821253 -1.64251e-05 1.56118e-05
0.0008 0.0798628 -0.073993 0.0798628 0.159726 0.0798628 -1.59726e-05 2.33718e-05
