t 1 2 3 4 5
0.0000000e+000 0.0000000e+000 -0.0000000e+000 0.0000000e+000 -0.0000000e+000 0.0000000e+000
1.0000000e-005 -1.4492754e-001 6.7491585e-018 -1.4492754e-001 -2.8985507e-001 -1.4492754e-001
2.0000000e-005 -1.4072674e-001 1.4492754e-001 -1.4072674e-001 -2.8145348e-001 -1.4072674e-001
3.0000000e-005 -1.3454730e-001 2.8565427e-001 -1.3454730e-001 -2.6909461e-001 -1.3454730e-001
4.0000000e-005 -1.2650746e-001 4.2020158e-001 -1.2650746e-001 -2.5301493e-001 -1.2650746e-001
5.0000000e-005 -1.1675070e-001 5.4670904e-001 -1.1675070e-001 -2.3350141e-001 -1.1675070e-001
6.0000000e-005 -1.0544331e-001 6.6345975e-001 -1.0544331e-001 -2.1088661e-001 -1.0544331e-001
7.0000000e-005 -9.2771619e-002 7.6890305e-001 -9.2771619e-002 -1.8554324e-001 -9.2771619e-002
8.0000000e-005 -7.8939064e-002 8.6167467e-001 -7.8939064e-002 -1.5787813e-001 -7.8939064e-002
9.0000000e-005 -6.4162937e-002 9.4061373e-001 -6.4162937e-002 -1.2832587e-001 -6.4162937e-002
1.0000000e-004 -4.8671058e-002 1.0047767e+000 -4.8671058e-002 -9.7342117e-002 -4.8671058e-002
1.1000000e-004 -3.2698322e-002 1.0534477e+000 -3.2698322e-002 -6.5396645e-002 -3.2698322e-002
1.2000000e-004 -1.6483186e-002 1.0861461e+000 -1.6483186e-002 -3.2966373e-002 -1.6483186e-002
1.3000000e-004 -2.6416585e-004 1.1026292e+000 -2.6416585e-004 -5.2833170e-004 -2.6416585e-004
1.4000000e-004 1.5723625e-002 1.1028934e+000 1.5723625e-002 3.1447250e-002 1.5723625e-002
1.5000000e-004 3.1251830e-002 1.0871698e+000 3.1251830e-002 6.2503660e-002 3.1251830e-002
1.6000000e-004 4.6102064e-002 1.0559179e+000 4.6102064e-002 9.2204127e-002 4.6102064e-002
1.7000000e-004 6.0068931e-002 1.0098159e+000 6.0068931e-002 1.2013786e-001 6.0068931e-002
1.8000000e-004 7.2962815e-002 9.4974695e-001 7.2962815e-002 1.4592563e-001 7.2962815e-002
1.9000000e-004 8.4612400e-002 8.7678414e-001 8.4612400e-002 1.6922480e-001 8.4612400e-002
2.0000000e-004 9.4866883e-002 7.9217174e-001 9.4866883e-002 1.8973377e-001 9.4866883e-002
2.1000000e-004 1.0359787e-001 6.9730486e-001 1.0359787e-001 2.0719574e-001 1.0359787e-001
