t 1 2 3 4 5 6 7 jV0700 
0 2.5e-11 1.19048e-12 2.5e-11 2.27273e-12 0 2.5e-11 0 0
1e-10 0.0248697 0.00118427 0.0248644 0.0022604 0 0.0248756 0 0
2e-10 0.0496099 0.00236237 0.0495939 0.00450853 0 0.0496275 0 0
3e-10 0.0742211 0.00353434 0.0741892 0.00674447 0 0.0742562 0 0
4e-10 0.0987041 0.00470019 0.0986511 0.00896828 0 0.0987624 0 0
5e-10 0.123059 0.00585997 0.12298 0.01118 0 0.123147 0 0
6e-10 0.147288 0.00701371 0.147178 0.0133798 0 0.14741 0 0
7e-10 0.17139 0.00816144 0.171243 0.0155676 0 0.171552 0 0
8e-10 0.195367 0.00930318 0.195179 0.0177435 0 0.195574 0 0
9e-10 0.219219 0.010439 0.218984 0.0199077 0 0.219477 0 0
1e-09 0.242946 0.0115689 0.242661 0.0220601 0 0.24326 0 0
1.1e-09 0.26655 0.0126928 0.266209 0.0242008 0 0.266926 0.5 0
1.2e-09 0.290031 0.013811 0.289629 0.0263299 0 0.290473 1 0
1.3e-09 0.313389 0.0149233 0.312922 0.0284475 0 0.313904 1.5 0
1.4e-09 0.336626 0.0160298 0.336089 0.0305535 0 0.337218 2 0
1.5e-09 0.359741 0.0171305 0.35913 0.0326482 0 0.360416 2.5 0
1.6e-09 0.382737 0.0182256 0.382046 0.0347315 0 0.383498 3 0
1.7e-09 0.405612 0.0193149 0.404838 0.0368034 0 0.406466 3.5 0
1.8e-09 0.428368 0.0203985 0.427506 0.0388642 0 0.429319 4 0
1.9e-09 0.451006 0.0214765 0.450051 0.0409137 0 0.452059 4.5 0
2e-09 0.473525 0.0225488 0.472474 0.0429522 0 0.474685 5 0
2.1e-09 0.495928 0.0236156 0.494775 0.0449796 0 0.497199 5 0
2.2e-09 0.518213 0.0246768 0.516956 0.046996 0 0.519601 5 0
2.3e-09 0.540383 0.0257325 0.539015 0.0490014 0 0.541892 5 0
2.4e-09 0.562436 0.0267827 0.560956 0.050996 0 0.564072 5 0
2.5e-09 0.584375 0.0278274 0.582777 0.0529797 0 0.586141 5 0
2.6e-09 0.6062 0.0288667 0.60448 0.0549527 0 0.6081 5 0
2.7e-09 0.627911 0.0299005 0.626065 0.056915 0 0.629951 5 0
2.8e-09 0.649509 0.030929 0.647533 0.0588666 0 0.651692 5 0
2.9e-09 0.670994 0.0319521 0.668884 0.0608077 0 0.673326 5 0
3e-09 0.692367 0.0329699 0.69012 0.0627382 0 0.694851 5 0
3.1e-09 0.713629 0.0339824 0.711241 0.0646582 0 0.71627 5 0
3.2e-09 0.734781 0.0349896 0.732247 0.0665679 0 0.737582 5 0
3.3e-09 0.755821 0.0359915 0.753139 0.0684671 0 0.758788 5 0
3.4e-09 0.776753 0.0369882 0.773917 0.0703561 0 0.779889 5 0
3.5e-09 0.797575 0.0379798 0.794583 0.0722348 0 0.800884 5 0
3.6e-09 0.818289 0.0389661 0.815137 0.0741034 0 0.821775 5 0
3.7e-09 0.838895 0.0399474 0.835579 0.0759617 0 0.842563 5 0
3.8e-09 0.859393 0.0409235 0.855911 0.0778101 0 0.863246 5 0
3.9e-09 0.879785 0.0418945 0.876132 0.0796483 0 0.883827 5 0
4e-09 0.90007 0.0428605 0.896243 0.0814766 0 0.904306 5 0
4.1e-09 0.92025 0.0438214 0.916245 0.083295 0 0.924682 5 0
4.2e-09 0.940324 0.0447773 0.936139 0.0851036 0 0.944957 5 0
4.3e-09 0.960294 0.0457283 0.955925 0.0869023 0 0.965132 5 0
4.4e-09 0.98016 0.0466743 0.975604 0.0886912 0 0.985206 5 0
4.5e-09 0.999922 0.0476153 0.995175 0.0904705 0 1.00518 5 0
4.6e-09 1.01958 0.0485515 1.01464 0.0922401 0 1.02505 5 0
4.7e-09 1.03914 0.0494828 1.034 0.0940001 0 1.04483 5 0
4.8e-09 1.05859 0.0504092 1.05326 0.0957505 0 1.06451 5 0
4.9e-09 1.07795 0.0513308 1.07241 0.0974915 0 1.08409 5 0
5e-09 1.0972 0.0522476 1.09145 0.099223 0 1.10357 5 0
5.1e-09 1.11635 0.0531596 1.1104 0.100945 0 1.12295 5 0
5.2e-09 1.1354 0.0540669 1.12924 0.102658 0 1.14224 5 0
5.3e-09 1.15436 0.0549694 1.14798 0.104361 0 1.16144 5 0
5.4e-09 1.17321 0.0558673 1.16661 0.106056 0 1.18053 5 0
5.5e-09 1.19197 0.0567604 1.18515 0.107741 0 1.19954 5 0
5.6e-09 1.21063 0.0576489 1.20358 0.109417 0 1.21844 5 0
5.7e-09 1.22919 0.0585328 1.22192 0.111083 0 1.23726 5 0
5.8e-09 1.24765 0.0594121 1.24015 0.112741 0 1.25598 5 0
5.9e-09 1.26602 0.0602868 1.25829 0.11439 0 1.2746 5 0
6e-09 1.28429 0.0611569 1.27633 0.11603 0 1.29314 5 0
6.1e-09 1.30247 0.0620225 1.29427 0.117661 0 1.31158 5 0
6.2e-09 1.32056 0.0628836 1.31211 0.119283 0 1.32993 5 0
6.3e-09 1.33854 0.0637402 1.32986 0.120896 0 1.34819 5 0
6.4e-09 1.35644 0.0645923 1.34751 0.122501 0 1.36636 5 0
6.5e-09 1.37424 0.06544 1.36506 0.124096 0 1.38444 5 0
6.6e-09 1.39195 0.0662833 1.38252 0.125684 0 1.40242 5 0
6.7e-09 1.40957 0.0671222 1.39988 0.127262 0 1.42032 5 0
6.8e-09 1.42709 0.0679567 1.41715 0.128832 0 1.43813 5 0
6.9e-09 1.44452 0.0687869 1.43433 0.130394 0 1.45585 5 0
7e-09 1.46187 0.0696127 1.45141 0.131947 0 1.47349 5 0
7.1e-09 1.47912 0.0704342 1.4684 0.133491 0 1.49103 5 0
7.2e-09 1.49628 0.0712515 1.4853 0.135028 0 1.50849 5 0
