t 1 2 3 4 5 6 7 8 9 10 jV0700 
0 0 0 0 0 0 7.49999e-06 0 7.49999e-06 7.49999e-06 7.49999e-06 0
3e-05 0 0 0 0 0 4.99667 0 4.99667 4.99667 4.99667 0
6e-05 0 0 0 0 0 5 0 5 5 5 0
9e-05 0 0 0 0 0 5 0 5 5 5 0
0.00012 0 0 0 0 0 5 0 5 5 5 0
0.00015 0 0 0 0 0 5 0 5 5 5 0
0.00018 0 0 0 0 0 5 0 5 5 5 0
0.00021 0 0 0 0 0 5 0 5 5 5 0
0.00024 0 0 0 0 0 5 0 5 5 5 0
0.00027 0 0 0 0 0 5 0 5 5 5 0
0.0003 0 0 0 0 0 5 0 5 5 5 0
0.00033 0 0 0 0 0 5 0 5 5 5 0
0.00036 0 0 0 0 0 5 0 5 5 5 0
0.00039 0 0 0 0 0 5 0 5 5 5 0
0.00042 0 0 0 0 0 5 0 5 5 5 0
0.00045 0 0 0 0 0 5 0 5 5 5 0
0.00048 0 0 0 0 0 5 0 5 5 5 0
0.00051 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 0.00333111 5 5 5 5 0
0.00054 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 2.21926e-06 5 5 5 5 0
0.00057 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 1.47852e-09 5 5 5 5 0
0.0006 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 9.85025e-13 5 5 5 5 0
0.00063 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 6.56246e-16 5 5 5 5 0
0.00066 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 4.37206e-19 5 5 5 5 0
0.00069 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 2.91276e-22 5 5 5 5 0
0.00072 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 1.94055e-25 5 5 5 5 0
0.00075 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 1.29284e-28 5 5 5 5 0
0.00078 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 8.61317e-32 5 5 5 5 0
0.00081 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 5.73829e-35 5 5 5 5 0
0.00084 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 3.82298e-38 5 5 5 5 0
0.00087 0.333528 0.000333195 0.000166681 8.33611e-05 4.99942 2.54695e-41 5 5 5 5 0
