t 1 2 3 4 5 6 7 8 jV0100 
0 0 1.66667e-10 0 2.5e-10 2.5e-10 2.5e-10 5e-10 5e-10 -0
1e-09 0 0.16129 0 0.238095 0.238095 0.238095 0.454545 0.454545 0
2e-09 0 0.317378 0 0.464853 0.464853 0.464853 0.867769 0.867769 0
3e-09 0 0.46843 0 0.680812 0.680812 0.680812 1.24343 1.24343 0
4e-09 0 0.61461 0 0.886488 0.886488 0.886488 1.58493 1.58493 0
5e-09 0 0.756074 0 1.08237 1.08237 1.08237 1.89539 1.89539 0
6e-09 0 0.892975 0 1.26892 1.26892 1.26892 2.17763 2.17763 0
7e-09 0 1.02546 0 1.44659 1.44659 1.44659 2.43421 2.43421 0
8e-09 0 1.15367 0 1.6158 1.6158 1.6158 2.66746 2.66746 0
9e-09 0 1.27775 0 1.77696 1.77696 1.77696 2.87951 2.87951 0
1e-08 0 1.39782 0 1.93043 1.93043 1.93043 3.07228 3.07228 0
1.1e-08 0 1.51402 0 2.0766 2.0766 2.0766 3.24753 3.24753 0
1.2e-08 0 1.62647 0 2.21581 2.21581 2.21581 3.40685 3.40685 0
1.3e-08 0 1.73529 0 2.34839 2.30154 2.32385 3.55168 3.55168 0
1.4e-08 0 1.84061 0 2.47466 2.32306 2.4165 3.68334 3.68334 0
1.5e-08 0 1.94252 0 2.59491 2.28628 2.52224 3.80304 3.80304 0
1.6e-08 0 2.04115 0 2.70944 2.19673 2.64023 3.91185 3.91185 0
1.7e-08 0 2.1366 0 2.81852 2.09212 2.7526 4.01078 4.01078 0
1.8e-08 0 2.22896 0 2.9224 1.9925 2.85962 4.10071 4.10071 0
1.9e-08 0 2.31835 0 3.02133 1.89762 2.96154 4.18246 4.12032 0
2e-08 0 2.40486 0 3.11555 1.80725 3.05861 4.25678 4.05951 0
2.1e-08 0 2.48857 0 3.20529 1.72119 3.15106 4.32435 3.92813 0
2.2e-08 0 2.56959 0 3.29075 1.63923 3.2391 4.38577 3.73504 0
2.3e-08 0 2.64799 0 3.37214 1.56117 3.32296 4.44161 3.48823 0
2.4e-08 0 2.72386 0 3.44966 1.48683 3.40282 4.49237 3.19488 0
2.5e-08 0 2.79728 0 3.52349 1.41603 3.47887 4.53852 2.90444 0
2.6e-08 0 2.86834 0 3.5938 1.3486 3.55131 4.58047 2.6404 0
2.7e-08 0 2.9371 0 3.66076 1.28438 3.62029 4.61861 2.40036 0
2.8e-08 0 3.00365 0 3.72453 1.22322 3.68599 4.65328 2.18215 0
2.9e-08 0 3.06804 0 3.78527 1.16497 3.74856 4.6848 1.98377 0
