t 1 2 3 4 5 6 7 
0 9.09091e-13 0 2.5e-11 0 5 0 5
1e-10 0.000909091 0 0.0248756 0 5 0 5
2e-10 0.00181818 0 0.0496275 0 5 0 5
3e-10 0.00272727 0 0.0742562 0 5 0 5
4e-10 0.00363636 0 0.0987624 0 5 0 5
5e-10 0.00454545 0 0.123147 0 5 0 5
6e-10 0.00545455 0 0.14741 0 5 0 5
7e-10 0.00636364 0 0.171552 0 5 0 5
8e-10 0.00727273 0 0.195574 0 5 0 5
9e-10 0.00818182 0 0.219477 0 5 0 5
1e-09 0.00909091 0 0.24326 0 5 0 5
1.1e-09 0.01 0 0.266926 0 5 0 5
1.2e-09 0.0109091 0 0.290473 0 5 0 5
1.3e-09 0.0118182 0 0.313904 0 5 0 5
1.4e-09 0.0127273 0 0.337218 0 5 0 5
1.5e-09 0.0136364 0 0.360416 0 5 0 5
1.6e-09 0.0145455 0 0.383498 0 5 0 5
1.7e-09 0.0154545 0 0.406466 0 5 0 5
1.8e-09 0.0163636 0 0.429319 0 5 0 5
1.9e-09 0.0172727 0 0.452059 0 5 0 5
2e-09 0.0181818 0 0.474685 0 5 0 5
2.1e-09 0.0190909 0 0.497199 0 5 0 5
2.2e-09 0.02 0 0.519601 0 5 0 5
2.3e-09 0.0209091 0 0.541892 0 5 0 5
2.4e-09 0.0218182 0 0.564072 0 5 0 5
2.5e-09 0.0227273 0 0.586141 0 5 0 5
2.6e-09 0.0236364 0 0.6081 0 5 0 5
2.7e-09 0.0245455 0 0.629951 0 5 0 5
2.8e-09 0.0254545 0 0.651692 0 5 0 5
2.9e-09 0.0263636 0 0.673326 0 5 0 5
3e-09 0.0272727 0 0.694851 0 5 0 5
3.1e-09 0.0281818 0 0.71627 0 5 0 5
3.2e-09 0.0290909 0 0.737582 0 5 0 5
3.3e-09 0.03 0 0.758788 0 5 0 5
3.4e-09 0.0309091 0 0.779889 0 5 0 5
3.5e-09 0.0318182 0 0.800884 0 5 0 5
3.6e-09 0.0327273 0 0.821775 0 5 0 5
3.7e-09 0.0336364 0 0.842563 0 5 0 5
3.8e-09 0.0345455 0 0.863246 0 5 0 5
3.9e-09 0.0354545 0 0.883827 0 5 0 5
4e-09 0.0363636 0 0.904306 0 5 0 5
4.1e-09 0.0372727 0 0.924682 0 5 0 5
4.2e-09 0.0381818 0 0.944957 0 5 0 5
4.3e-09 0.0390909 0 0.965132 0 5 0 5
4.4e-09 0.04 0 0.985206 0 5 0 5
4.5e-09 0.0409091 0 1.00518 0 5 0 5
4.6e-09 0.0418182 0 1.02505 0 5 0 5
