t 1 jV0100 
0 0 -0
0.001 0 -0
0.002 0 -0
0.003 0 -0
0.004 0 -0
0.005 0 -0
0.006 0 -0
0.007 0 -0
0.008 0 -0
0.009 0 -0
0.01 8.67362e-17 -8.67362e-17
0.011 0.05 -0.05
0.012 0.1 -0.1
0.013 0.15 -0.15
0.014 0.2 -0.2
0.015 0.25 -0.25
0.016 0.3 -0.3
0.017 0.35 -0.35
0.018 0.4 -0.4
0.019 0.45 -0.45
0.02 0.5 -0.5
0.021 0.55 -0.55
0.022 0.6 -0.6
0.023 0.65 -0.65
0.024 0.7 -0.7
0.025 0.75 -0.75
0.026 0.8 -0.8
0.027 0.85 -0.85
0.028 0.9 -0.9
0.029 0.95 -0.95
0.03 1 -1
0.031 1.05 -1.05
0.032 1.1 -1.1
0.033 1.15 -1.15
0.034 1.2 -1.2
0.035 1.25 -1.25
0.036 1.3 -1.3
0.037 1.35 -1.35
0.038 1.4 -1.4
0.039 1.45 -1.45
0.04 1.5 -1.5
0.041 1.55 -1.55
0.042 1.6 -1.6
0.043 1.65 -1.65
0.044 1.7 -1.7
0.045 1.75 -1.75
0.046 1.8 -1.8
0.047 1.85 -1.85
0.048 1.9 -1.9
0.049 1.95 -1.95
0.05 2 -2
0.051 2.05 -2.05
0.052 2.1 -2.1
0.053 2.15 -2.15
0.054 2.2 -2.2
0.055 2.25 -2.25
0.056 2.3 -2.3
0.057 2.35 -2.35
0.058 2.4 -2.4
0.059 2.45 -2.45
0.06 2.5 -2.5
0.061 2.55 -2.55
0.062 2.6 -2.6
0.063 2.65 -2.65
0.064 2.7 -2.7
0.065 2.75 -2.75
0.066 2.8 -2.8
0.067 2.85 -2.85
0.068 2.9 -2.9
0.069 2.95 -2.95
0.07 3 -3
0.071 3.05 -3.05
0.072 3.1 -3.1
0.073 3.15 -3.15
0.074 3.2 -3.2
0.075 3.25 -3.25
0.076 3.3 -3.3
0.077 3.35 -3.35
0.078 3.4 -3.4
0.079 3.45 -3.45
0.08 3.5 -3.5
0.081 3.55 -3.55
0.082 3.6 -3.6
0.083 3.65 -3.65
0.084 3.7 -3.7
0.085 3.75 -3.75
0.086 3.8 -3.8
0.087 3.85 -3.85
0.088 3.9 -3.9
0.089 3.95 -3.95
0.09 4 -4
0.091 4.05 -4.05
0.092 4.1 -4.1
0.093 4.15 -4.15
0.094 4.2 -4.2
0.095 4.25 -4.25
0.096 4.3 -4.3
0.097 4.35 -4.35
0.098 4.4 -4.4
0.099 4.45 -4.45
0.1 4.5 -4.5
0.101 4.55 -4.55
0.102 4.6 -4.6
0.103 4.65 -4.65
0.104 4.7 -4.7
0.105 4.75 -4.75
0.106 4.8 -4.8
0.107 4.85 -4.85
0.108 4.9 -4.9
