t 1 2 3 4 5 jV0100 jO1 jO2 
0 10 10 10 20 10 -6.8e+07 -0.002 0.001
1e-05 10 -1e-08 10 20 10 -0.001 -0.002 0.002
2e-05 10 -10 10 20 10 -0.002 -0.002 0.003
3e-05 10 -20 10 20 10 -0.003 -0.002 0.004
4e-05 10 -30 10 20 10 -0.004 -0.002 0.005
5e-05 10 -40 10 20 10 -0.005 -0.002 0.006
6e-05 10 -50 10 20 10 -0.006 -0.002 0.007
7e-05 10 -60 10 20 10 -0.007 -0.002 0.008
8e-05 10 -70 10 20 10 -0.008 -0.002 0.009
9e-05 10 -80 10 20 10 -0.009 -0.002 0.01
0.0001 10 -90 10 20 10 -0.01 -0.002 0.011
0.00011 10 -100 10 20 10 -0.011 -0.002 0.012
0.00012 10 -110 10 20 10 -0.012 -0.002 0.013
0.00013 10 -120 10 20 10 -0.013 -0.002 0.014
0.00014 10 -130 10 20 10 -0.014 -0.002 0.015
0.00015 10 -140 10 20 10 -0.015 -0.002 0.016
0.00016 10 -150 10 20 10 -0.016 -0.002 0.017
0.00017 10 -160 10 20 10 -0.017 -0.002 0.018
0.00018 10 -170 10 20 10 -0.018 -0.002 0.019
0.00019 10 -180 10 20 10 -0.019 -0.002 0.02
0.0002 10 -190 10 20 10 -0.02 -0.002 0.021
0.00021 10 -200 10 20 10 -0.021 -0.002 0.022
0.00022 10 -210 10 20 10 -0.022 -0.002 0.023
0.00023 10 -220 10 20 10 -0.023 -0.002 0.024
0.00024 10 -230 10 20 10 -0.024 -0.002 0.025
0.00025 10 -240 10 20 10 -0.025 -0.002 0.026
0.00026 10 -250 10 20 10 -0.026 -0.002 0.027
0.00027 10 -260 10 20 10 -0.027 -0.002 0.028
0.00028 10 -270 10 20 10 -0.028 -0.002 0.029
0.00029 10 -280 10 20 10 -0.029 -0.002 0.03
0.0003 10 -290 10 20 10 -0.03 -0.002 0.031
0.00031 10 -300 10 20 10 -0.031 -0.002 0.032
0.00032 10 -310 10 20 10 -0.032 -0.002 0.033
0.00033 10 -320 10 20 10 -0.033 -0.002 0.034
0.00034 10 -330 10 20 10 -0.034 -0.002 0.035
0.00035 10 -340 10 20 10 -0.035 -0.002 0.036
0.00036 10 -350 10 20 10 -0.036 -0.002 0.037
0.00037 10 -360 10 20 10 -0.037 -0.002 0.038
0.00038 10 -370 10 20 10 -0.038 -0.002 0.039
0.00039 10 -380 10 20 10 -0.039 -0.002 0.04
0.0004 10 -390 10 20 10 -0.04 -0.002 0.041
0.00041 10 -400 10 20 10 -0.041 -0.002 0.042
0.00042 10 -410 10 20 10 -0.042 -0.002 0.043
0.00043 10 -420 10 20 10 -0.043 -0.002 0.044
0.00044 10 -430 10 20 10 -0.044 -0.002 0.045
0.00045 10 -440 10 20 10 -0.045 -0.002 0.046
0.00046 10 -450 10 20 10 -0.046 -0.002 0.047
0.00047 10 -460 10 20 10 -0.047 -0.002 0.048
0.00048 10 -470 10 20 10 -0.048 -0.002 0.049
0.00049 10 -480 10 20 10 -0.049 -0.002 0.05
