t 1 2 3 4 5
0.0000000 0.000000 -0.000000 0.000000 -0.000000 0.000000
0.0000100 -0.144928 -0.000000 -0.144928 -0.289855 -0.144928
0.0000200 -0.140727 0.144928 -0.140727 -0.281453 -0.140727
0.0000300 -0.134547 0.285654 -0.134547 -0.269095 -0.134547
0.0000400 -0.126507 0.420202 -0.126507 -0.253015 -0.126507
0.0000500 -0.116751 0.546709 -0.116751 -0.233501 -0.116751
0.0000600 -0.105443 0.663460 -0.105443 -0.210887 -0.105443
0.0000700 -0.092772 0.768903 -0.092772 -0.185543 -0.092772
0.0000800 -0.078939 0.861675 -0.078939 -0.157878 -0.078939
0.0000900 -0.064163 0.940614 -0.064163 -0.128326 -0.064163
0.0001000 -0.048671 1.004777 -0.048671 -0.097342 -0.048671
0.0001100 -0.032698 1.053448 -0.032698 -0.065397 -0.032698
0.0001200 -0.016483 1.086146 -0.016483 -0.032966 -0.016483
0.0001300 -0.000264 1.102629 -0.000264 -0.000528 -0.000264
0.0001400 0.015724 1.102894 0.015724 0.031447 0.015724
0.0001500 0.031252 1.087170 0.031252 0.062504 0.031252
0.0001600 0.046102 1.055918 0.046102 0.092204 0.046102
0.0001700 0.060069 1.009816 0.060069 0.120138 0.060069
0.0001800 0.072963 0.949747 0.072963 0.145926 0.072963
0.0001900 0.084612 0.876785 0.084612 0.169225 0.084612
0.0002000 0.094867 0.792172 0.094867 0.189734 0.094867
0.0002100 0.103598 0.697305 0.103598 0.207196 0.103598
0.0002200 0.110701 0.593707 0.110701 0.221402 0.110701
0.0002300 0.116097 0.483006 0.116097 0.232193 0.116097
0.0002400 0.119732 0.366910 0.119732 0.239463 0.119732
0.0002500 0.121579 0.247178 0.121579 0.243157 0.121579
0.0002600 0.121637 0.125599 0.121637 0.243274 0.121637
0.0002700 0.119932 0.003962 0.119932 0.239863 0.119932
0.0002800 0.116513 -0.115969 0.116513 0.233025 0.116513
0.0002900 0.111455 -0.232482 0.111455 0.222910 0.111455
0.0003000 0.104855 -0.343937 0.104855 0.209710 0.104855
0.0003100 0.096831 -0.448792 0.096831 0.193662 0.096831
0.0003200 0.087520 -0.545623 0.087520 0.175040 0.087520
0.0003300 0.077076 -0.633143 0.077076 0.154152 0.077076
0.0003400 0.065666 -0.710218 0.065666 0.131331 0.065666
0.0003500 0.053469 -0.775884 0.053469 0.106939 0.053469
0.0003600 0.040675 -0.829354 0.040675 0.081350 0.040675
0.0003700 0.027476 -0.870028 0.027476 0.054952 0.027476
0.0003800 0.014071 -0.897505 0.014071 0.028141 0.014071
0.0003900 0.000656 -0.911575 0.000656 0.001311 0.000656
0.0004000 -0.012575 -0.912231 -0.012575 -0.025149 -0.012575
0.0004100 -0.025431 -0.899656 -0.025431 -0.050862 -0.025431
0.0004200 -0.037732 -0.874225 -0.037732 -0.075465 -0.037732
0.0004300 -0.049309 -0.836493 -0.049309 -0.098617 -0.049309
0.0004400 -0.060002 -0.787184 -0.060002 -0.120005 -0.060002
0.0004500 -0.069672 -0.727182 -0.069672 -0.139343 -0.069672
0.0004600 -0.078191 -0.657510 -0.078191 -0.156382 -0.078191
0.0004700 -0.085454 -0.579319 -0.085454 -0.170908 -0.085454
0.0004800 -0.091373 -0.493865 -0.091373 -0.182746 -0.091373
0.0004900 -0.095882 -0.402493 -0.095882 -0.191764 -0.095882
0.0005000 -0.098936 -0.306611 -0.098936 -0.197872 -0.098936
0.0005100 -0.100512 -0.207675 -0.100512 -0.201024 -0.100512
0.0005200 -0.100608 -0.107163 -0.100608 -0.201216 -0.100608
0.0005300 -0.099245 -0.006555 -0.099245 -0.198490 -0.099245
0.0005400 -0.096463 0.092690 -0.096463 -0.192927 -0.096463
0.0005500 -0.092324 0.189154 -0.092324 -0.184648 -0.092324
